role,resource,id,type,dimension,category,region,data_name,year_published,year_target,provider,method_description_data,method_description_ind,sdg,data_file,excel_sheet,data_type,data_encoding,epsg,source_url,date_acquired,licence,licence_url,resolution,areas,map_field,evaluate,units,aggregation,target,fill_na,rate,point_overlay_xy,point_overlay_name,point_overlay_hover_field,raster_band,scale_factor,raster_range,raster_mult,raster_offset,raster_statistic,raster_nodata,plot,citations,notes
indicators,"Annual solid waste (tonnes, 2018)",annual_solid_waste_tonnes,linkage,City problems impacting health and wellbeing,Zero waste,Bangkok,Solid waste,2019,2018,"Department of Environment, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The amount of solid waste (tonnes) taken to waste transfer stations during 2018 was recorded for each district.,"11, 13",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/solid waste in Bangkok -kn08242019.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,annual solid waste (tonnes),,t,,,,overall,,,,,,,,,,,district,,
indicators,"Annual recyclable waste (tonnes, 2018)",annual_recyclable_waste_tonnes,linkage,City problems impacting health and wellbeing,Zero waste,Bangkok,Solid waste,2019,2018,"Department of Environment, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The amount of recyclable waste (waste that is managed by recycling; tonnes) taken to waste transfer stations during 2018 was recorded for each district.,"11, 13",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/solid waste in Bangkok -kn08242019.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,annual recyclable waste (tonnes),,t,,,,overall,,,,,,,,,,,district,,
indicators,"Percentage recyclable waste (tonnes, 2018)",percentage_recyclable_waste,linkage,City problems impacting health and wellbeing,Zero waste,Bangkok,Solid waste,2019,2018,"Department of Environment, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The percentage of total waste (solid and recyclable) taken to waste transfer stations during 2018  that was recyclable was recorded for each district.,"11, 13",./data/Thai/_from BMA/20190911/transfer_1710171_files_127133c5/solid waste in Bangkok -kn08242019.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,annual recyclable waste (tonnes),/ (`total waste (solid + recyclable + hazardous; tonnes)`),%,percent,>=40,,overall,,,,,,,,,,,district,,
indicators,"Annual hazardous waste (kg, 2018)",annual_hazardous_waste_kg,linkage,City problems impacting health and wellbeing,Zero waste,Bangkok,Hazardous waste,2019,2018,"Department of Environment, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The amount of hazardous waste segregation (kg) at waste transfer stations during 2018 was recorded for each district.,"11, 13",./data/Thai/_from BMA/20200507/Hazardous waste segregation 2018-kn81519pter.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,Hazardous waste segregation (kg) ,,kg,,,,overall,,,,,,,,,,,district,,
indicators,Percentage hazardous waste (2018),percentage_hazardous_waste,linkage,City problems impacting health and wellbeing,Zero waste,Bangkok,Hazardous waste,2019,2018,"Department of Environment, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The percentage of total waste (solid and hazardous) taken to waste transfer stations during 2018  that was hazardous was recorded for each district.,"11, 13",./data/Thai/_from BMA/20200507/Hazardous waste segregation 2018-kn81519pter.xlsx,cleaned,integer,,,,20190911,none specified,,area summary,district,Hazardous waste segregation (tonnes) ,/ `total waste (solid + recyclable + hazardous; tonnes)`,%,percent,,,overall,,,,,,,,,,,district,,
indicators,Main road flood area location count (2018),main_road_flood_locations,linkage,City problems impacting health and wellbeing,No flooding,Bangkok,Flood risk,2019,2018,"Department of Drainage and Sewerage , BMA ",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The count of main road flood areas associated with each analysis area was recorded.,"11, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/BKK indicator_flood_kn 63019.xlsx,main_road_flood_areas_cleaned,float,,,,20190809,none specified,,area summary,"subdistrict,district",main road flood locations,,#,count,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,district,,
indicators,Average days of rain (main road flood areas;  2018),main_road_flood_days_rain,linkage,City problems impacting health and wellbeing,No flooding,Bangkok,Flood risk,2019,2018,"Department of Drainage and Sewerage , BMA ",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The average number of days of rain recorded for 14 main road flood areas was taken for each analysis area.,"11, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/BKK indicator_flood_kn 63019.xlsx,main_road_flood_areas_cleaned,float,,,,20190809,none specified,,area summary,"subdistrict,district",days of rain,,days,average,,,,,,,,,,,,,,district,,
indicators,Average maximum intensity (main road flood areas;  2018),main_road_flood_intensity,linkage,City problems impacting health and wellbeing,No flooding,Bangkok,Flood risk,2019,2018,"Department of Drainage and Sewerage , BMA ",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The average maximum intensity recorded for 14 main road flood areas was taken for each analysis area.,"11, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/BKK indicator_flood_kn 63019.xlsx,main_road_flood_areas_cleaned,float,,,,20190809,none specified,,area summary,"subdistrict,district",maximum intensity,,mm/hour,average,,,,,,,,,,,,,,district,,
indicators,Average days of flooding  (main road flood areas;  2018),main_road_flood_days_flood,linkage,City problems impacting health and wellbeing,No flooding,Bangkok,Flood risk,2019,2018,"Department of Drainage and Sewerage , BMA ",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The average number of days of flooding recorded for 14 main road flood areas was taken for each analysis area.,"11, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/BKK indicator_flood_kn 63019.xlsx,main_road_flood_areas_cleaned,float,,,,20190809,none specified,,area summary,"subdistrict,district",days of flooding,,days,average,,,,,,,,,,,,,,district,,
indicators,Vulnerable flood area count (2018),vulnerable_flood_areas,linkage,City problems impacting health and wellbeing,No flooding,Bangkok,Flood risk,2019,2018,"Department of Drainage and Sewerage , BMA ",Data at subdistrict level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,The count of vulnerable flood areas associated with each analysis area was recorded.,"11, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/BKK indicator_flood_kn 63019.xlsx,vulnerable_flood_areas_cleaned,float,,,,20190809,none specified,,area summary,"subdistrict,district",flood risk locations,,#,sum,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,district,,
indicators,Air quality monitoring stations (2019),pcd_monitoring_stations,linkage,City problems impacting health and wellbeing,High quality air,Bangkok,Air quality: PM2.5,2019,2018,"From article (Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019) citing data sourced from Thai Pollution Control Department websites http://air4thai.pcd.go.th and http://aqmthai.com/public_report.php",Data from monitoring stations were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with IDs for districts containing the monitoring stations.  Point locations for monitoring stations were acquired from monitoring station geojson data retrieved from http://air4thai.pcd.go.th and aligned with the supplied data.,The count of monitoring stations in each analysis area was recorded.,"3, 7, 11, 2, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/air quality in Bangkok 2019 kn 7719.xlsx,pm2.5_cleaned,integer,,,,20190809,none specified,,area summary,district,stationID,,#,count,,,"overall, area:1, population:10000, household:10000","long,lat",monitoring station points,nameTH,,,,,,,,district,"Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019","From article (Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019) citing data sourced from Thai Pollution Control Department websites http://air4thai.pcd.go.th and http://aqmthai.com/public_report.php"
indicators,"Number of days PM 2.5 exceeds Thai standard (50 µg/m³; January 2019, PCD)",pm2p5_days_exceeding_thai_standard,linkage,City problems impacting health and wellbeing,High quality air,Bangkok,Air quality: PM2.5,2019,2018,"From article (Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019) citing data sourced from Thai Pollution Control Department websites http://air4thai.pcd.go.th and http://aqmthai.com/public_report.php",Data from monitoring stations were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with IDs for districts containing the monitoring stations.  Point locations for monitoring stations were acquired from monitoring station geojson data retrieved from http://air4thai.pcd.go.th and aligned with the supplied data.,"The average number of days PM 2.5 levels exceeded Thai standards during January 2019 were recorded for each analysis area, based on monitoring station records.","3, 7, 11, 2, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/air quality in Bangkok 2019 kn 7719.xlsx,pm2.5_cleaned,integer,,,,20190809,none specified,,area summary,district,"days exceeding Thai standard (50 µg/m³; January 2019, PCD)",,days,average,,,,"long,lat",monitoring station points,nameTH,,,,,,,,district,"Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019","From article (Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019) citing data sourced from Thai Pollution Control Department websites http://air4thai.pcd.go.th and http://aqmthai.com/public_report.php"
indicators,"Number of days PM 2.5 exceeds WHO standard (25 µg/m³; January 2019, PCD)",pm2p5_days_exceeding_who_standard,linkage,City problems impacting health and wellbeing,High quality air,Bangkok,Air quality: PM2.5,2019,2018,"From article (Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019) citing data sourced from Thai Pollution Control Department websites http://air4thai.pcd.go.th and http://aqmthai.com/public_report.php",Data from monitoring stations were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with IDs for districts containing the monitoring stations.  Point locations for monitoring stations were acquired from monitoring station geojson data retrieved from http://air4thai.pcd.go.th and aligned with the supplied data.,"The average number of days PM 2.5 levels exceeded WHO standards during January 2019 were recorded for each analysis area, based on monitoring station records.","3, 7, 11, 2, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/air quality in Bangkok 2019 kn 7719.xlsx,pm2.5_cleaned,integer,,,,20190809,none specified,,area summary,district,"days exceeding WHO standard (25 µg/m³; January 2019, PCD)",,days,average,,,,"long,lat",monitoring station points,nameTH,,,,,,,,district,"Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019","From article (Thara Bua Kham Si. 2019.  How many days does Bangkok people live in polluted air, toxic PM2.5 dust? Greenpeace.  January 2019. https://www.greenpeace.org/thailand/story/2122/people-living-with-air-pollution/ accessed 6 July 2019) citing data sourced from Thai Pollution Control Department websites http://air4thai.pcd.go.th and http://aqmthai.com/public_report.php"
indicators,Annual average NO2 (1-e6 mmol/m²; 2017-18),no2_2017_18_mean,raster,City problems impacting health and wellbeing,High quality air,Bangkok,Sentinel-5P NRTI NO2: Near Real-Time Nitrogen Dioxide,2019,2018,Copernicus Sentinel Data processed using Google Earth Engine,"Google Earth Engine was used to process Sentinel 5p data from the Copernicus satellite detailing total vertical column of NO2 (ratio of the slant column density of NO2 and the total air mass factor), taking the annual average from 13 October 2017 (commencement of the S5P monitoring mission) to 12 October 2018.  ","The total vertical column of NO2 is a measure of air pollution, however it is based on tropospheric and stratospheric presence of NO2 and measured in mmol per square metre; in contrast, health guidelines for exposure are usually based on ground monitoring of NO2, recorded in parts per billion.  As a spatially continuous measure, annual average NO2 is useful for indicating areas of relatively intense pollution and may be compared with ground based measures (ie. from monitoring stations) as well as longitudinally to monitor change over time.  For mapping purposes, NO2 was scaled as 1-e6 mmol per square metre (ie. divided by 0.000001).",,./data/International/Google EarthEngine/copernicus_s5p_nrti_l3_no2-mean_col_num_density_20171013_20181012.tif,,raster:float64,,4326,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_NO2,20191009,"Free, full and open access for lawful usage, with attribution",https://sentinel.esa.int/documents/247904/690755/Sentinel_Data_Legal_Notice,10,"subdistrict,district",Annual average NO2 (1-e6 mmol/m²; 2017-18),,1-e6 mmol/m²,average,,,,,,,1,1000000,,,0,mean,-999,district,,"Free access, but must acknowledge Copernicus Sentinel, year of data and if it has been modified.  Requires processing, as data is in half hourly updates."
indicators,Fire incidence (2018),fire_incidence,linkage,City problems impacting health and wellbeing,A safe environment,Bangkok,Fire incidence,2019,2018,"Fire and Rescue Department, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with IDs. ,The number of fire occurences recorded for each analysis area within 2018 was recorded.,"11, 13",./data/Thai/_from BMA/20190809/transfer_1673010_files_4a5fe795/Fire Incidence in Bangkok 2018_kn8919.xlsx,cleaned,table,,,,20190809,none specified,,area summary,district,fire incidence,,#,sum,,,"overall, area:1, population:10000, household:10000",,,,,,,,,,,district,,
indicators,Number of locations with reported crime (2019),crime_locations,linkage,City problems impacting health and wellbeing,A safe environment,Bangkok,Risk areas,2019,2019,"Department of City Law Enforcement, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,"The number of crime locations reported within each district was recorded, and subsequently evaluated against a target threshold.","11, 13",./data/Thai/_from BMA/20200511/Risk Areas _crime_ in Bangkok _improved_kn20200510.xlsx,cleaned,integer,,,,20200511,none specified,,area summary,district,Locations with reported crime,,#,,<=30,,overall,,,,,,,,,,,district,,"Only one district has 30 locations; most have below 20.  Perhaps 15 would be a more meaningful target to aspire to?  Alternately, number of reported incidents could be a more meaningful metric."
indicators,Number of locations with reported road accidents (2019),road_accident_locations,linkage,City problems impacting health and wellbeing,A safe environment,Bangkok,Risk areas,2019,2019,"Department of City Law Enforcement, BMA",Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,"The number of road accidents locations reported within each district was recorded, and subsequently evaluated against a target threshold.","11, 13",./data/Thai/_from BMA/20200511/Risk Areas _crime_ in Bangkok _improved_kn20200510.xlsx,cleaned,integer,,,,20200511,none specified,,area summary,district,Locations with reported road accidents,,#,,<=12,,overall,,,,,,,,,,,district,,Only two districts have 12 locations; perhaps <= 10 would be a more aspirational target.
indicators,Total public green area percent (2019),green_space_public_percent,linkage,Health-promoting environments,"Green space, pocket parks",Bangkok,Green areas,2019,2019,BMA,Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,"The total area of green space reported within each district was recorded, and subsequently evaluated against target thresholds with regard to total area, and per capita.","3, 11, 13, 15",./data/Thai/_from BMA/20190930/transfer_1730651_files_296a713c/Green area in BKK by district 2019_kn20190923.xlsx,cleaned,integer,,,,20190930,none specified,Website 203.155.220.220/parks,area summary,district,Total public green space percent,,%,,>=28,,overall,,,,,,,,,,,district,,Only two districts have 12 locations; perhaps <= 10 would be a more aspirational target.
indicators,Total public green area per capita (m²; 2019),green_space_public_per_capita,linkage,Health-promoting environments,"Green space, pocket parks",Bangkok,Green areas,2019,2019,BMA,Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,"The total area of green space reported within each district was recorded, and subsequently evaluated against target thresholds with regard to total area, and per capita.","3, 11, 13, 15",./data/Thai/_from BMA/20190930/transfer_1730651_files_296a713c/Green area in BKK by district 2019_kn20190923.xlsx,cleaned,integer,,,,20190930,none specified,Website 203.155.220.220/parks,area summary,district,Green space per capita (sqm),,m²/person,,>=9,,overall,,,,,,,,,,,district,,Only two districts have 12 locations; perhaps <= 10 would be a more aspirational target.
indicators,Number of green areas (2019),green_space_count,linkage,Health-promoting environments,"Green space, pocket parks",Bangkok,Green areas,2019,2019,BMA,Data at district level were prepared by the Bangkok Metropolitan Administration and supplied as an Excel workbook.  Data were cleaned for processing and aligned with area IDs. ,"The number of green areas within each district was recorded.  Classification was based on a typology of 9 kinds of green space: outdoor stadium, golf course, water source, lowland, open space, big tree areas, agricultural areas, aquaculture areas and other areas.","3, 11, 13, 15",./data/Thai/_from BMA/20200511/Num_Green area in BKK by district 2019_Ha_kn20200509.xlsx,cleaned,integer,,,,20190930,none specified,Website 203.155.220.220/parks,area summary,district,Total number of green areas (places),,#,,,,overall,,,,,,,,,,,district,,Only two districts have 12 locations; perhaps <= 10 would be a more aspirational target.
indicators,"Normalised Difference Vegetation Index (NDVI, annual mean; 2019)",vegetation_ndvi_mean,raster,Health-promoting environments,Greater tree coverage to provide shade,Bangkok,Normalised Difference Vegetation Index,2020,2019,"Landsat-8 data courtesy of the U.S. Geological Survey, processed using Google Earth Engine","Landsat 8 Collection 1 Tier 1 Annual NDVI Composite data (LANDSAT/LC08/C01/T1_ANNUAL_NDVI) was retrieved using Google Earth Engine for Bangkok for 2019, using the bounding box WGS84 coordinates [100.327866596872, 13.4851864441217, 100.938637619401, 13.9551828398924].  Normalized Difference Vegetation Index (NDVI) was generated from the Near-IR and Red bands of each scene as (NIR - Red) / (NIR + Red), and ranges in value from -1.0 to 1.0. ",The mean Normalized Difference Vegetation Index (NDVI) for each district and subdistrict was recorded,"3, 11, 13, 15",./data/International/Google EarthEngine/LANDSAT_LC08_C01_T1_ANNUAL_NDVI_20190101_20191231.tif,,raster:float64,,4326,https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C01_T1_ANNUAL_NDVI,20200722,none specified,,30,"subdistrict,district",mean Normalised Difference Vegetation Index (NDVI),,#,average,,,,,,,1,1,"-1,1",,0,mean,-999,district,,Public domain; give credit to USGS and Google Earth Engine. 
